median_age,new_tests_per_thousand,total_boosters,new_tests_smoothed,cardiovasc_death_rate,total_deaths_per_million,aged_70_older,extreme_poverty,people_fully_vaccinated,new_deaths_per_million,new_tests_smoothed_per_thousand,new_people_vaccinated_smoothed_per_hundred,total_tests_per_thousand,new_deaths_smoothed_per_million,hospital_beds_per_thousand,total_boosters_per_hundred,male_smokers,total_vaccinations_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,total_vaccinations,diabetes_prevalence,people_fully_vaccinated_per_hundred,total_tests,people_vaccinated,new_deaths_smoothed,tests_per_case,total_cases_per_million,new_people_vaccinated_smoothed,total_cases,positive_rate,new_deaths,new_vaccinations_smoothed_per_million,stringency_index,total_deaths,new_vaccinations_smoothed,new_tests,new_cases
43.4,0.0,0.0,9224.0,85.99799999999998,1.774,8.622,0.2,0.0,0.136,0.18,0.0,5.674,0.07,12.27,0.0,40.9,0.0,0.0,0.61,0.0,0.0,6.8,0.0,291120.0,0.0,3.571,92.8,166.942,0.0,8565.0,0.0108,7.0,0.0,55.56,91.0,0.0,0.0,93.0
43.4,0.195,0.0,10062.0,85.99799999999998,1.832,8.622,0.2,0.0,0.058,0.196,0.0,5.87,0.078,12.27,0.0,40.9,0.0,0.0,0.56,0.0,0.0,6.8,0.0,301139.0,0.0,4.0,104.7,168.638,0.0,8652.0,0.0096,3.0,0.0,55.56,94.0,0.0,10019.0,152.0
43.4,0.208,0.0,10213.0,85.99799999999998,1.988,8.622,0.2,0.0,0.156,0.199,0.0,6.077000000000001,0.084,12.27,0.0,40.9,0.0,0.0,0.62,0.0,0.0,6.8,0.0,311805.0,0.0,4.2860000000000005,100.3,171.503,0.0,8799.0,0.01,8.0,0.0,69.44,102.0,0.0,10666.0,87.0
43.4,0.106,0.0,9617.0,85.99799999999998,2.164,8.622,0.2,0.0,0.175,0.187,0.0,6.183,0.1,12.27,0.0,40.9,0.0,0.0,0.73,0.0,0.0,6.8,0.0,317240.0,0.0,5.143,84.3,174.66099999999997,0.0,8961.0,0.0119,9.0,0.0,75.93,111.0,0.0,5435.0,147.0
43.4,0.14,0.0,9268.0,85.99799999999998,2.164,8.622,0.2,0.0,0.0,0.181,0.0,6.323,0.1,12.27,0.0,40.9,0.0,0.0,0.65,0.0,0.0,6.8,0.0,324408.0,0.0,5.143,89.5,174.66099999999997,0.0,8961.0,0.0112,0.0,0.0,75.93,111.0,0.0,7168.0,162.0
43.4,0.17,0.0,9011.0,85.99799999999998,2.339,8.622,0.2,0.0,0.175,0.17600000000000002,0.0,6.4929999999999986,0.109,12.27,0.0,40.9,0.0,0.0,0.71,0.0,0.0,6.8,0.0,333142.0,0.0,5.5710000000000015,88.0,176.142,0.0,9037.0,0.0114,9.0,0.0,75.93,120.0,0.0,8734.0,0.0
43.4,0.204,0.0,9004.0,85.99799999999998,2.456,8.622,0.2,0.0,0.117,0.175,0.0,6.698,0.117,12.27,0.0,40.9,0.0,0.0,0.76,0.0,0.0,6.8,0.0,343618.0,0.0,6.0,87.1,178.09099999999995,0.0,9137.0,0.0115,6.0,0.0,75.93,126.0,0.0,10476.0,76.0
43.4,0.136,0.0,8493.0,85.99799999999998,2.553,8.622,0.2,0.0,0.097,0.166,0.0,6.832999999999998,0.111,12.27,0.0,40.9,0.0,0.0,0.75,0.0,0.0,6.8,0.0,350573.0,0.0,5.714,87.9,180.118,0.0,9241.0,0.0114,5.0,0.0,75.93,131.0,0.0,6955.0,100.0
43.4,0.218,0.0,8658.0,85.99799999999998,2.709,8.622,0.2,0.0,0.156,0.16899999999999998,0.0,7.051,0.125,12.27,0.0,40.9,0.0,0.0,0.77,0.0,0.0,6.8,0.0,361742.0,0.0,6.4289999999999985,89.1,181.892,0.0,9332.0,0.0112,8.0,0.0,75.93,139.0,0.0,11169.0,104.0
43.4,0.187,0.0,8508.0,85.99799999999998,2.807,8.622,0.2,0.0,0.097,0.166,0.0,7.237999999999999,0.117,12.27,0.0,40.9,0.0,0.0,0.85,0.0,0.0,6.8,0.0,371361.0,0.0,6.0,87.7,184.738,0.0,9478.0,0.0114,5.0,0.0,75.93,144.0,0.0,9619.0,91.0
